Indicadores municipales de sostenibilidad: Tasa de afil.a la S.S. según Grupo Cotización:Oficiales de Producción (% sobre total personas afiliadas);;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
48051;Lanestosa;39,22;44,74;31,11;36,59;41,46;36,36;34,48;38,24;30,30;31,03;30,77;35,29
01902;Lantarón;44,07;44,59;40,71;43,62;45,39;49,32;45,52;47,14;51,22;48,82;44,68;45,00
01033;Lapuebla de Labarca;32,02;24,52;24,50;23,90;21,08;21,12;25,30;25,00;25,00;23,65;21,60;15,07
48052;Larrabetzu;20,40;19,08;20,38;20,70;20,78;21,89;22,04;22,77;21,93;21,67;23,47;23,36
20048;Larraul;26,67;21,51;23,26;24,42;26,32;20,25;21,13;25,40;25,40;26,47;30,77;32,79
20902;Lasarte-Oria;33,13;33,42;34,10;34,81;35,28;34,96;35,57;36,04;35,75;34,88;35,65;37,23
01036;Laudio/Llodio;36,30;37,39;37,20;37,82;37,69;38,28;38,66;38,30;38,61;39,16;40,68;41,48
48053;Laukiz;18,47;20,00;20,23;21,18;21,02;20,45;23,21;24,15;23,66;23,49;22,99;23,57
20049;Lazkao;40,60;41,05;42,22;43,26;44,86;45,49;45,57;46,41;45,16;46,18;47,03;47,15
20050;Leaburu;50,00;48,92;51,56;47,66;47,37;49,59;47,27;50,00;49,56;48,70;47,47;43,00
20051;Legazpi;37,81;39,42;39,34;39,05;40,68;41,72;41,92;41,79;41,80;42,13;42,81;43,76
20052;Legorreta;39,30;41,97;41,40;44,87;42,80;44,38;45,03;42,98;42,86;42,98;44,17;46,27
01058;Legutio;36,95;37,38;36,05;37,01;38,03;36,03;36,36;37,88;39,11;40,20;39,49;40,27
20068;Leintz-Gatzaga;52,94;50,00;44,64;33,93;38,89;39,29;41,67;38,00;35,42;46,67;40,38;38,78
48054;Leioa;19,24;19,84;19,81;20,82;20,76;20,95;20,77;20,97;20,82;21,32;21,60;21,91
48057;Lekeitio;23,98;24,62;24,71;24,83;25,72;26,28;27,20;27,57;27,62;26,36;28,15;28,76
48055;Lemoa;36,87;34,93;35,18;35,99;35,67;34,71;34,32;33,80;34,55;35,56;34,76;37,34
48056;Lemoiz;22,62;23,21;21,52;22,60;23,23;21,33;23,85;20,87;18,58;18,28;20,83;23,94
01034;Leza;18,00;19,57;19,57;14,58;19,57;17,02;18,18;22,50;22,92;21,05;21,43;15,09
48081;Lezama;20,00;19,78;21,76;24,26;23,27;23,82;24,22;25,65;24,84;25,30;26,13;26,81
20053;Lezo;34,20;32,47;32,71;32,96;33,29;33,81;33,75;33,40;33,55;32,53;32,28;33,40
20054;Lizartza;44,16;47,12;44,83;42,93;43,43;45,27;47,47;49,77;48,31;50,73;52,75;51,83
48903;Loiu;21,90;22,56;21,20;23,31;22,09;22,97;21,77;22,68;20,49;23,72;22,01;23,08
48058;Mallabia;42,86;41,88;43,85;44,53;45,90;43,26;43,04;40,21;42,58;42,82;43,05;45,85
48060;Markina-Xemein;35,84;37,24;37,07;36,68;37,12;39,18;38,39;37,56;39,43;37,80;39,66;38,84
48061;Maruri-Jatabe;16,72;16,72;15,13;16,48;16,44;17,33;17,86;18,61;16,34;18,07;21,26;22,13
48059;Mañaria;33,54;32,91;34,62;34,34;34,16;36,00;34,90;33,33;36,24;36,81;40,56;41,50
20901;Mendaro;38,47;37,67;39,75;40,79;41,17;42,90;41,13;42,52;41,78;42,71;41,99;42,47
48062;Mendata;21,36;23,23;21,57;22,64;21,15;25,00;23,16;23,40;20,22;23,17;24,39;22,73
48063;Mendexa;25,23;24,77;29,81;30,61;33,00;32,61;30,11;36,47;34,94;30,00;31,34;29,87
48064;Meñaka;29,05;29,13;28,44;29,18;29,41;28,91;28,72;32,11;31,11;32,37;31,84;31,76
01039;Moreda de Álava / Moreda Araba;29,17;27,78;31,25;38,24;32,35;34,48;31,43;33,33;25,93;28,00;28,00;23,53
48066;Morga;26,15;25,81;30,00;31,09;33,33;27,97;25,93;31,19;33,94;33,01;32,69;36,00
48068;Mundaka;17,84;17,81;17,23;17,10;17,40;17,19;18,14;20,17;19,39;21,33;22,67;22,13
48069;Mungia;23,28;23,96;23,76;24,75;25,71;25,50;25,23;26,04;27,44;27,52;27,21;28,22
48007;Munitibar-Arbatzegi Gerrikaitz-;32,28;32,79;31,93;30,43;35,34;31,82;33,93;33,64;35,00;27,78;35,56;40,86
48908;Murueta;17,02;17,50;22,22;18,18;25,00;27,59;23,33;25,00;21,43;19,23;22,22;19,05
48071;Muskiz;33,14;33,94;32,73;32,79;33,99;34,68;34,90;33,35;33,66;33,84;34,31;35,21
20057;Mutiloa;45,78;50,72;46,97;51,43;52,17;53,62;51,67;47,17;55,10;49,02;48,98;48,15
20056;Mutriku;37,70;36,41;36,91;37,75;36,74;39,14;40,11;41,40;41,20;40,55;40,49;39,67
48067;Muxika;25,93;26,30;26,01;27,33;28,34;29,06;29,41;29,72;27,44;29,20;29,90;33,01
48909;Nabarniz;25,37;25,81;29,31;30,77;30,65;31,67;32,76;35,71;41,67;37,50;39,58;42,00
01041;Navaridas;29,27;20,00;20,69;20,00;10,00;7,41;16,67;13,79;14,29;22,73;16,22;10,20
20063;Oiartzun;30,16;30,33;29,87;31,11;31,29;31,93;31,16;30,72;30,84;30,74;32,38;33,57
01042;Okondo;42,38;40,83;40,84;41,86;40,43;42,78;43,75;42,30;42,37;42,04;42,24;41,04
20058;Olaberria;39,25;40,00;42,03;41,87;44,44;47,89;47,55;48,90;47,27;45,15;43,22;44,10
48073;Ondarroa;32,16;33,20;33,21;32,45;32,54;33,57;33,82;33,50;33,79;33,17;34,66;34,86
20076;Ordizia;34,81;35,32;35,98;36,77;37,48;37,89;38,84;38,56;37,38;38,16;38,67;40,52
20905;Orendain;31,43;28,81;30,91;33,33;33,33;32,76;26,42;26,79;29,41;26,53;27,27;31,48
20060;Orexa;27,50;25,64;23,08;23,08;24,39;23,08;30,00;32,50;28,21;30,00;27,50;33,33
20061;Orio;33,10;32,79;33,59;35,56;35,19;34,82;35,56;36,14;37,47;38,94;39,88;40,32
20062;Ormaiztegi;37,87;35,70;37,89;36,55;38,21;37,99;37,69;40,00;40,00;40,51;41,76;43,47
48075;Orozko;30,99;30,39;32,05;32,93;33,60;34,40;32,55;30,81;32,93;31,74;33,11;34,70
48083;Ortuella;33,72;34,19;32,93;33,64;33,76;33,86;33,59;33,15;33,35;33,18;34,25;36,38
48072;Otxandio;36,41;35,70;37,25;36,47;35,23;34,07;35,73;37,57;40,30;38,24;39,63;41,11
