Indicadores municipales de sostenibilidad: Personas extranjeras beneficiarias de Renta de Garantía de Ingresos (% personas extranjeras);;;;;;;;;;;
"";;;;;;;;;;;
Resumen de datos;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
01901;Iruña Oka/Iruña de Oca;6,31;5,00;6,27;7,97;4,35;4,69;5,39;4,88;6,20;5,80
48049;Ispaster;0,00;0,00;0,00;0,00;3,77;1,96;4,76;7,14;8,33;3,23
20047;Itsasondo;13,13;9,47;9,52;13,04;3,12;5,95;4,35;6,90;1,75;1,75
48910;Iurreta;10,09;9,29;10,33;9,68;6,67;7,12;12,09;15,33;13,47;16,18
48050;Izurtza;0,00;0,00;11,11;3,45;4,65;2,50;2,33;5,88;0,00;0,00
48022;Karrantza Harana/Valle de Carranza;4,00;2,81;2,10;2,98;1,69;0,00;0,00;0,00;4,41;6,15
48907;Kortezubi;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,33;6,67;11,11
01019;Kripan;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01020;Kuartango;0,00;0,00;5,26;13,33;7,14;6,67;5,88;0,00;0,00;0,00
01028;Labastida/Bastida;11,70;11,00;11,05;9,04;8,76;12,10;11,32;9,20;9,49;7,69
01030;Lagrán;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01031;Laguardia;4,80;4,87;6,97;5,73;5,11;8,52;8,24;7,55;5,92;4,79
01032;Lanciego/Lantziego;6,15;3,94;5,15;7,50;6,72;7,44;8,57;11,70;9,47;6,74
48051;Lanestosa;0,00;0,00;7,69;25,00;15,38;9,09;11,11;16,67;21,43;11,76
01902;Lantarón;6,82;7,23;3,57;2,99;7,25;8,62;5,00;7,41;5,77;5,00
01033;Lapuebla de Labarca;7,84;10,00;8,47;9,65;6,67;8,60;9,88;7,22;3,66;6,45
48052;Larrabetzu;7,14;5,83;5,21;3,45;3,08;8,62;12,77;7,84;5,56;7,94
20048;Larraul;0,00;0,00;6,67;8,33;0,00;0,00;0,00;0,00;0,00;0,00
20902;Lasarte-Oria;5,10;4,04;5,11;4,76;4,16;3,83;5,65;7,81;8,54;8,92
01036;Laudio/Llodio;10,99;9,24;11,58;11,78;10,81;10,10;12,07;11,53;12,49;15,09
48053;Laukiz;0,00;1,89;2,04;0,00;3,45;1,89;2,17;0,00;0,00;0,00
20049;Lazkao;3,25;2,83;3,73;2,46;1,60;2,28;3,96;2,97;3,21;3,99
20050;Leaburu;13,46;12,50;8,62;16,28;19,05;11,11;11,43;22,58;14,29;13,89
20051;Legazpi;9,32;8,97;8,86;10,71;9,39;11,11;13,42;12,09;7,84;8,77
20052;Legorreta;6,19;5,94;7,69;5,88;7,01;7,76;9,09;8,70;1,89;2,68
01058;Legutio;10,07;8,37;7,96;7,18;5,41;6,51;7,38;6,72;4,27;2,99
20068;Leintz-Gatzaga;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48054;Leioa;10,86;10,31;11,18;11,52;10,94;11,31;10,91;10,20;12,98;14,78
48057;Lekeitio;3,42;4,56;5,05;3,57;3,89;4,97;4,88;6,79;7,92;8,96
48055;Lemoa;6,28;6,63;5,11;4,42;4,40;5,63;7,30;9,03;7,43;7,09
48056;Lemoiz;5,45;11,11;4,65;10,53;10,81;3,03;3,70;6,45;6,25;6,90
01034;Leza;9,38;5,71;2,78;5,13;2,94;6,90;10,00;3,33;10,00;5,26
48081;Lezama;9,52;5,30;4,62;4,32;3,36;3,48;6,25;8,33;6,82;10,64
