"Indicadores municipales de sostenibilidad: Tasa de afiliación a la seguridad social por municipio de residencia: población 16-24 años (%habitantes) ";;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
20058;Olaberria;32,10;36,99;19,28;25,00;28,81;18,52;18,18;17,46;16,95;20,59;17,91;32,35
48073;Ondarroa;21,19;18,28;14,39;19,36;19,39;18,13;16,25;16,27;14,58;12,81;11,68;16,97
20076;Ordizia;33,11;25,94;25,07;27,97;27,73;24,29;22,00;18,90;19,05;15,78;15,82;23,46
20905;Orendain;37,50;29,41;11,11;11,76;17,65;28,57;18,18;27,27;16,67;10,00;16,67;35,71
20060;Orexa;16,67;30,77;8,33;20,00;20,00;20,00;16,67;25,00;0,00;25,00;16,67;60,00
20061;Orio;29,73;24,69;19,89;24,29;25,45;22,44;25,06;22,07;22,04;18,40;22,89;20,35
20062;Ormaiztegi;27,73;30,36;30,56;30,63;25,23;26,61;21,90;18,18;12,00;10,20;15,69;23,23
48075;Orozko;26,76;22,66;16,48;24,03;21,76;17,35;11,17;8,76;11,41;11,66;13,73;21,90
48083;Ortuella;26,99;23,78;18,38;23,60;21,08;18,28;19,02;18,78;18,09;16,31;21,37;24,19
48072;Otxandio;40,20;21,15;21,88;17,53;16,87;21,43;21,74;10,29;19,05;18,84;23,19;24,68
01043;Oyón-Oion;25,50;8,88;13,06;9,06;9,12;10,91;11,23;12,64;9,60;6,85;9,81;15,35
