Indicadores municipales de sostenibilidad: Hombres parados de larga duración registrados en LANBIDE (% Hombres de 16 a 64 años);;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;
48906;Forua;2,87;1,82;3,23;4,15;3,11;3,30;2,89;3,92;4,46;5,56;3,98;3,21;0,90;1,17;1,67;0,56;0,58
48035;Fruiz;1,08;1,73;1,72;1,76;1,16;1,16;2,31;3,49;4,71;2,40;2,75;1,72;1,76;3,40;2,07;0,72;0,76
20038;Gabiria;0,48;0,53;1,00;2,11;0,52;0,57;0,00;0,52;0,00;0,00;1,07;0,54;1,09;0,00;1,13;0,00;0,74
20037;Gaintza;2,13;2,13;0,00;0,00;0,00;0,00;0,00;0,00;2,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,04
48036;Galdakao;2,79;2,48;2,27;2,79;2,33;2,63;3,10;3,63;3,58;4,59;4,52;3,86;3,18;2,45;1,64;1,35;1,11
48037;Galdames;3,12;4,23;3,87;6,48;4,15;4,51;4,88;4,58;5,90;6,12;7,57;5,18;3,82;1,27;1,56;1,30;1,90
48038;Gamiz-Fika;1,61;1,56;2,17;2,99;1,95;1,92;1,89;2,71;2,09;2,13;2,75;3,57;2,86;1,47;1,68;0,66;0,66
48039;Garai;0,90;0,86;0,85;0,00;0,00;0,93;0,00;0,00;0,00;2,88;1,82;0,00;0,84;0,83;0,00;0,00;0,00
48040;Gatika;1,14;1,33;1,70;1,71;1,74;2,51;2,07;1,71;3,75;2,77;3,52;2,95;2,79;3,17;1,11;1,11;1,57
48041;Gautegiz Arteaga;1,61;1,29;1,27;2,69;3,02;2,61;3,72;4,23;4,39;4,04;3,48;2,10;3,52;1,56;1,20;0,63;1,00
20907;Gaztelu;0,00;1,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,49;1,54;0,00;0,00;0,00;1,43;0,00
48046;Gernika-Lumo;2,26;2,37;2,89;3,08;2,83;2,85;3,60;4,28;5,33;6,02;5,78;4,80;3,27;2,24;2,29;0,95;1,33
20039;Getaria;0,40;0,92;0,62;1,16;1,07;1,06;0,84;0,94;1,66;0,94;1,27;0,87;0,98;1,52;0,55;0,44;0,46
48044;Getxo;2,65;2,76;2,93;3,51;2,66;2,85;3,08;3,28;3,74;4,07;3,77;3,31;2,45;1,92;1,57;1,22;1,69
48047;Gizaburuaga;1,16;1,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,78;1,37;1,41;0,00;0,00;0,00;0,00
48042;Gordexola;1,88;3,08;3,31;3,36;2,71;3,20;4,19;4,45;4,67;5,49;4,67;3,09;2,56;1,35;1,53;0,86;0,89
48043;Gorliz;3,32;2,71;2,97;3,66;2,69;2,97;2,95;4,10;4,22;4,15;4,38;4,07;2,17;2,00;1,32;0,69;1,01
48045;Güeñes;4,39;3,87;4,58;4,90;3,51;4,41;4,93;6,39;6,77;6,74;6,03;5,49;3,29;2,51;1,81;1,34;1,46
01056;Harana/Valle de Arana;2,86;2,67;3,61;3,80;1,23;1,27;2,35;5,95;7,50;8,43;6,82;9,09;5,21;2,02;0,94;1,82;0,00
20040;Hernani;2,06;2,14;2,49;2,47;2,27;2,57;2,80;3,45;3,85;4,38;4,44;3,97;3,05;2,76;1,88;1,07;1,38
20041;Hernialde;0,00;0,98;0,99;3,00;1,03;3,26;4,17;2,08;4,12;6,06;3,25;1,63;0,79;2,31;2,44;0,79;1,67
20036;Hondarribia;1,27;1,25;1,43;1,95;1,62;1,55;1,64;1,97;2,41;2,56;2,41;2,45;2,14;1,85;1,32;1,02;0,87
20042;Ibarra;2,66;2,09;2,45;3,07;2,50;1,70;3,36;3,17;4,37;5,13;4,21;3,81;3,27;2,88;2,02;0,94;1,14
48048;Ibarrangelu;3,60;2,78;2,81;2,02;1,78;0,88;3,03;2,20;2,60;2,61;1,35;2,65;1,35;1,36;0,93;0,95;1,03
20043;Idiazabal;0,68;0,85;0,70;1,43;0,70;0,84;0,99;1,68;1,84;2,19;2,26;1,18;1,66;1,20;0,39;0,13;0,40
48094;Igorre;2,77;2,38;2,80;2,45;1,91;1,98;3,04;3,69;3,96;4,81;3,82;3,25;3,13;2,52;1,20;0,27;0,35
20044;Ikaztegieta;3,21;4,61;3,27;2,60;3,11;3,85;5,70;4,97;3,07;1,80;0,62;1,27;3,11;3,09;1,24;1,26;0,65
20045;Irun;3,10;2,92;3,13;3,72;2,95;2,95;3,51;3,91;4,86;5,37;4,97;4,34;3,66;3,13;2,47;1,63;1,54
20046;Irura;1,58;1,32;0,88;1,53;0,92;2,22;2,93;3,14;3,16;3,66;3,72;3,34;2,81;1,73;1,06;0,93;1,09
01027;Iruraiz-Gauna;1,81;0,90;1,31;2,26;1,45;1,52;1,51;0,51;0,51;1,49;1,52;1,55;0,98;1,05;1,98;1,68;1,05
01901;Iruña Oka/Iruña de Oca;1,41;1,19;1,65;2,30;1,55;2,47;2,70;2,96;3,43;2,67;3,46;3,25;2,44;1,64;0,88;0,37;0,61
48049;Ispaster;0,44;0,44;0,87;0,89;0,45;2,26;2,67;2,65;3,08;3,08;4,66;2,04;0,41;2,08;0,43;0,85;0,85
20047;Itsasondo;2,65;3,10;2,18;2,17;2,49;1,67;2,64;1,40;2,90;5,14;5,24;4,46;4,78;1,43;1,43;0,46;0,49
48910;Iurreta;2,50;2,33;2,95;4,05;2,75;3,40;3,40;4,11;4,30;5,67;5,19;4,50;3,21;2,68;1,82;0,59;0,51
48050;Izurtza;3,81;0,00;0,00;1,98;3,17;1,59;3,31;3,54;4,85;3,67;4,65;3,45;4,48;2,27;0,89;1,00;1,10
48022;Karrantza Harana/Valle de Carranza;4,58;4,45;4,73;5,41;5,44;6,58;6,94;7,65;7,77;8,14;7,69;6,15;3,65;2,69;2,14;1,29;0,60
48907;Kortezubi;0,72;0,70;2,13;2,11;2,19;2,17;2,14;2,16;1,43;4,23;3,50;1,40;1,42;0,00;1,41;0,00;0,00
01019;Kripan;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,79;0,00;0,00;3,28;0,00;1,69;1,67;0,00;0,00
01020;Kuartango;3,76;1,52;2,21;3,62;0,73;1,49;2,86;0,73;2,13;1,43;1,40;1,40;2,04;2,76;0,69;0,69;0,70
01028;Labastida/Bastida;2,42;2,88;2,51;1,78;2,25;2,73;2,69;2,46;3,07;4,28;3,67;2,74;3,11;1,66;1,25;0,52;0,73
01030;Lagrán;1,75;3,70;3,70;3,33;3,57;2,00;1,96;0,00;1,89;6,00;4,55;2,17;0,00;1,72;0,00;0,00;0,00
