Indicadores municipales de sostenibilidad: Tasa de afiliación.a la S.S. Sector Primario (% sobre total personas afiliadas);;;;;;;;;;;;
"";;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
48072;Otxandio;2,37;2,65;2,37;2,37;2,57;2,88;3,14;3,01;3,05;3,37;3,31
01043;Oyón-Oion;6,24;9,77;13,15;11,53;11,05;10,48;10,93;11,67;10,50;11,18;11,96
20059;Oñati;0,73;0,60;0,59;0,65;0,73;0,77;0,83;0,80;0,79;0,71;0,68
20064;Pasaia;0,61;0,60;0,59;0,61;0,62;0,58;0,75;0,89;1,02;1,13;1,23
01044;Peñacerrada-Urizaharra;19,19;22,78;25,30;21,84;24,05;23,81;26,58;24,68;26,03;26,47;25,35
48077;Plentzia;0,83;0,72;0,67;0,56;0,57;0,58;0,71;0,86;0,84;0,77;0,71
48078;Portugalete;0,20;0,11;0,10;0,06;0,05;0,05;0,07;0,10;0,07;0,05;0,06
01047;Ribera Baja/Erribera Beitia;2,83;4,07;4,31;4,30;5,38;4,72;5,06;5,88;5,71;5,62;5,61
01051;Salvatierra/Agurain;1,58;1,41;1,35;1,36;1,41;1,64;1,52;1,67;1,89;1,60;1,35
01052;Samaniego;40,71;36,89;41,23;42,50;41,09;40,62;40,31;40,83;41,67;41,46;40,62
01053;San Millán/Donemiliaga;20,62;22,15;23,08;22,53;22,87;23,17;22,98;23,29;24,76;26,54;25,89
48082;Santurtzi;0,30;0,22;0,22;0,21;0,20;0,19;0,22;0,20;0,20;0,19;0,19
20070;Segura;2,18;2,27;2,29;2,10;2,46;2,18;2,14;1,97;2,02;2,09;2,14
48084;Sestao;0,42;0,11;0,10;0,07;0,09;0,15;0,15;0,13;0,11;0,10;0,12
48904;Sondika;0,20;0,32;0,38;0,31;0,32;0,27;0,28;0,28;0,29;0,18;0,17
48085;Sopela;0,47;0,38;0,38;0,37;0,51;0,53;0,54;0,59;0,63;0,61;0,60
48086;Sopuerta;1,72;1,85;2,02;2,26;2,25;2,73;2,63;2,70;2,94;2,70;2,91
20065;Soraluze-Placencia de las Armas;0,51;0,25;0,13;0,13;0,25;0,25;0,25;0,32;0,46;0,46;0,46
48076;Sukarrieta;2,91;3,33;3,37;3,37;4,44;4,55;4,44;3,16;3,37;3,33;3,23
