Indicadores municipales de sostenibilidad: Mujeres beneficiarias de Renta de Garantía de Ingresos (? mujeres);;;;;;;;;;;
"";;;;;;;;;;;
Resumen de datos;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
48073;Ondarroa;23,47;21,70;22,29;20,88;19,54;24,73;27,85;27,65;27,74;27,84
20076;Ordizia;19,14;16,05;16,55;17,74;15,88;16,77;18,89;18,61;19,27;22,75
20905;Orendain;8,00;8,00;7,81;8,62;8,85;9,71;9,71;30,61;10,42;0,00
20060;Orexa;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20061;Orio;19,24;16,39;16,93;20,04;18,09;21,91;22,97;22,06;18,47;21,78
20062;Ormaiztegi;7,92;4,91;11,24;12,68;12,48;13,85;13,72;12,31;12,38;14,06
48075;Orozko;19,79;18,94;18,73;20,22;18,05;21,12;18,81;21,12;22,49;26,28
48083;Ortuella;37,08;32,59;33,89;31,45;36,41;41,08;45,92;51,31;49,00;53,11
48072;Otxandio;39,57;18,78;24,81;21,24;17,86;25,56;30,26;31,77;39,25;41,53
01043;Oyón-Oion;26,55;26,78;32,53;35,31;35,34;38,86;44,38;40,52;33,67;37,66
20059;Oñati;12,19;10,63;10,72;9,32;8,04;9,20;9,08;11,50;10,87;10,07
20064;Pasaia;33,48;32,13;34,84;35,59;32,64;36,55;38,88;37,54;41,40;41,49
01044;Peñacerrada-Urizaharra;0,00;0,00;0,00;0,00;8,33;0,00;0,00;8,55;8,55;8,70
48077;Plentzia;18,57;17,84;19,67;22,38;22,14;22,41;25,60;26,69;26,46;29,32
48078;Portugalete;31,30;25,95;29,00;31,69;29,38;31,67;35,60;36,01;36,08;37,68
01047;Ribera Baja/Erribera Beitia;11,90;10,67;9,49;5,37;3,98;9,43;12,21;18,03;14,49;11,53
01051;Salvatierra/Agurain;33,18;23,36;29,79;28,32;22,95;24,42;25,01;32,14;42,35;38,57
01052;Samaniego;29,20;13,79;13,61;6,76;16,53;26,79;8,70;8,62;7,58;7,69
01053;San Millán/Donemiliaga;3,03;2,97;3,02;3,03;3,15;3,12;3,17;0,00;0,00;3,08
48082;Santurtzi;42,57;38,73;44,66;46,88;44,57;46,01;46,66;48,53;46,69;48,05
20070;Segura;6,96;5,48;5,41;10,90;6,57;6,66;2,70;1,35;4,10;4,08
48084;Sestao;39,69;37,00;41,93;40,23;42,21;46,82;57,95;63,85;61,99;58,21
48904;Sondika;16,46;13,19;16,22;15,35;12,25;12,77;15,38;15,04;10,75;14,14
48085;Sopela;21,04;19,59;22,48;23,22;23,93;21,37;23,08;22,85;27,10;29,70
