Indicadores municipales de sostenibilidad: Porcentaje de establecimientos del sector primario sobre el total (%);;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
20068;Leintz-Gatzaga;7,69;7,14;7,14;5,56;15,00;23,81;25,00;22,73;21,74;31,82;30,43;20,00
48054;Leioa;0,57;0,47;0,48;0,56;0,54;0,64;0,55;0,54;0,54;0,54;0,50;0,48
48057;Lekeitio;2,05;2,25;2,95;3,34;4,27;3,99;3,82;3,77;2,70;2,77;3,33;3,01
48055;Lemoa;3,24;3,00;2,95;2,92;2,50;1,79;1,43;2,05;3,26;5,14;6,42;4,92
48056;Lemoiz;18,82;19,75;24,39;21,95;20,73;21,33;24,10;21,79;25,61;23,81;26,74;21,69
01034;Leza;53,49;55,26;53,85;58,54;55,00;35,90;36,11;32,35;34,38;32,26;34,38;30,00
48081;Lezama;11,79;10,75;11,50;11,27;12,44;11,88;11,21;11,71;14,08;13,61;14,80;13,85
20053;Lezo;1,80;1,97;2,62;2,70;2,86;2,95;2,88;2,86;3,06;3,34;3,69;2,79
20054;Lizartza;7,69;8,33;10,42;10,20;10,64;16,33;16,67;18,00;19,61;19,23;22,41;17,24
48903;Loiu;1,95;1,92;2,17;3,04;2,98;2,67;2,34;2,26;2,68;2,89;2,88;2,02
48058;Mallabia;6,70;7,03;7,03;6,91;6,90;6,34;8,53;9,91;13,55;11,89;13,22;8,26
48060;Markina-Xemein;7,53;7,69;9,09;9,49;10,08;8,80;9,56;10,50;11,26;11,28;11,03;8,24
48061;Maruri-Jatabe;15,07;14,29;14,04;15,00;14,75;14,06;16,67;18,18;13,79;18,18;16,67;22,58
48059;Mañaria;6,12;8,33;8,00;7,84;7,55;7,55;7,27;11,32;11,76;14,29;16,67;14,58
20901;Mendaro;6,12;6,85;7,84;7,89;7,79;8,48;7,78;7,83;10,59;10,56;11,93;9,15
48062;Mendata;26,09;25,00;30,43;30,43;28,57;38,10;45,45;34,78;44,00;34,48;43,33;40,00
48063;Mendexa;20,45;20,45;20,93;23,26;23,26;15,38;15,38;23,53;25,00;25,00;23,08;17,14
48064;Meñaka;20,00;23,40;19,15;20,00;20,83;13,33;11,90;9,76;10,53;7,89;16,67;15,38
01039;Moreda de Álava / Moreda Araba;62,22;60,87;61,22;61,54;62,75;60,47;62,79;58,14;48,48;54,29;55,88;48,28
48066;Morga;19,35;21,88;20,00;20,00;22,58;25,81;25,00;28,12;29,41;28,12;37,50;40,62
48068;Mundaka;3,73;3,70;4,58;7,69;8,70;7,14;7,69;6,52;2,17;4,23;5,41;4,58
48069;Mungia;3,32;3,45;3,31;4,02;4,08;3,93;3,66;3,90;4,20;3,97;4,59;4,47
48007;Munitibar-Arbatzegi Gerrikaitz-;12,12;12,90;19,35;20,59;19,44;18,42;17,14;17,65;21,21;21,21;21,43;20,69
48908;Murueta;6,67;6,67;13,33;16,67;14,29;15,00;15,79;5,26;5,56;11,11;6,25;0,00
48071;Muskiz;2,57;2,56;2,69;3,29;3,51;3,21;4,26;4,03;5,27;5,08;6,17;5,02
20057;Mutiloa;15,79;20,00;18,75;18,75;30,00;40,91;38,10;39,13;31,58;40,91;50,00;41,94
20056;Mutriku;7,82;8,39;10,26;11,26;10,82;9,60;10,41;11,46;12,93;14,87;15,72;14,33
48067;Muxika;8,65;9,43;12,15;13,51;12,93;16,67;18,70;21,67;24,60;22,31;25,40;17,89
48909;Nabarniz;11,76;12,50;17,65;16,67;16,67;11,11;12,50;23,53;18,75;18,75;17,65;25,00
01041;Navaridas;60,94;57,58;58,46;60,94;59,38;53,57;52,73;47,92;34,88;46,94;45,10;45,83
20063;Oiartzun;4,29;4,17;4,69;5,05;5,14;5,19;4,77;4,92;5,16;6,33;6,22;5,04
01042;Okondo;15,73;15,22;15,22;15,96;16,84;19,10;21,28;19,19;21,00;22,22;23,36;21,30
20058;Olaberria;3,08;3,01;4,00;4,92;5,69;5,98;5,17;5,79;5,43;8,00;13,08;12,50
48073;Ondarroa;8,55;8,25;9,35;9,44;8,92;9,58;9,06;9,03;6,87;5,68;7,11;4,92
20076;Ordizia;0,80;0,82;1,23;1,52;1,63;1,27;1,25;0,87;1,33;1,47;1,25;1,08
20905;Orendain;35,71;32,14;37,04;40,74;44,00;36,84;33,33;38,89;47,06;56,25;61,11;55,00
20060;Orexa;18,75;20,00;15,38;14,29;14,29;15,38;33,33;33,33;30,00;36,36;46,15;42,86
20061;Orio;3,69;4,00;4,52;5,47;6,51;4,57;5,03;5,01;5,17;4,61;6,37;6,56
20062;Ormaiztegi;0,00;0,00;0,00;0,00;0,00;2,17;2,27;3,30;5,21;4,35;5,38;4,35
48075;Orozko;21,51;21,13;22,80;24,50;25,00;25,58;26,01;25,93;29,00;29,00;28,83;23,87
48083;Ortuella;1,00;0,96;0,78;0,96;0,91;0,88;0,86;0,69;1,20;1,22;1,41;1,32
48072;Otxandio;14,93;14,93;13,70;10,96;12,16;11,27;10,00;8,64;10,34;10,59;13,75;14,29
01043;Oyón-Oion;18,13;17,63;19,68;24,16;23,02;22,82;22,66;21,28;17,75;19,09;20,63;16,02
20059;Oñati;6,08;6,67;8,58;9,21;8,93;10,06;9,66;9,52;10,05;12,78;16,28;13,28
